Ulasan;
Batu night spectacular (BNS) rata-rata wahananya dibuat untuk anak-anak hingga remaja, jadi untuk permainan ekstrim seperti roller coaster atau sejenisnya tidak akan ditemukan disini. Menurut saya wahana disini cukup sedikit, karena lahannya pun tidak cukup luas. Hanya 30 menit mengitari seluruh tempat pun sudah merasa puas. ;
tempat yang asik untuk malam hari. suasana sangat meriah karena warna warni lampu, juga banyak pilihan permainan. sayangnya harus parkir jauh karena banyak pengunjung, terutama malam minggu, tempat parkir full. puas berkeliling, menuju pintu keluar kita melewati pasar cenderamata, silahkan belanja sesukanya karena harga cukup terjangkau;
Saya datang saat malam hari ke BNS dan ada beberapa wahana bermain di sini yang saya coba, harga tiket masuk murah dan terjangkau. semarak dengan lampu2 di malam hari;
Waktu paling pas untuk mengunjungi BNS dari jam 5 sore sampai malam hari. Karena bisa melihat gemerlap lampu disana. Sangat menyenangkan karena anak anak bisa bermain dan mencoba semua permainan di sana. Untuk setiap permainan tetap harus membayar   tiket lagi. ;
Datang ke tempat ini karena ingin mengeksplorasi Batu saat malam. Dari jauh tempat ini mencolok karena warna warni lampion. Kami memberi tiga tiket terusan untuk dua anak saya dan ayahnya. sementara Ibu saya dan saya membeli tiket masuk saja karena kami cuma menemani. Anak-anak saya mencoba semua permainan kecuali tower drp yang menurut mereka terlalu tinggi.;
Wahana yg tersedia bervariasi dari usia anak2 sampai dewasa, semakin malam semakin ramai suasananya. Pada hari-hari tertentu ada pementasan air mancur dan menonton film di layar terlebar. Favorit saya adalah wahana gambar 3d dan taman lampu,rekomend buat dapat foto bagus. ;
Tempat jujukan ketika malam hari di kota Batu. Tempatnya tidak begitu besar tapi wahana permainan cukup banyak bagi anak-anak hingga dewasa. Tidak leluasa berkeliling karena sempitnya area sehingga jarak antara satu permainan dengan yang lainnya terlalu berdekatan, Saat ramai pengunjung, semakin gerah karena sesak sekali. Atraksi dancing foutainnya juga monoton dari tahun ke tahun. Tidak ada penambahan atau kenaikan mutu gerakan airnya. ;
Wisata ini cocok untuk yg senang pada wahana permainan dan pemacu adrenalin. Lampu2 di malam hari membuat BNS lebih baguus. Tapi secara pribadi saya kurang bisa menikmati BNS..suasana terlalu crowded Dan sya kurang suka permainan.;
Tempat ini buka pd sore hari hingga malam hari,tiket masuk dan wahana permainan dibayar terpisah.apabila menggunakan tiket terusan dr Jatim park masuk bs gratis.tp tiap naik wahana hrs bayar lg.;
Banyak permainan pemacu adrenalin di BNS, sangat menarik bagi adrenalin addict. Juga ada lampion garden yang sangat menarik bagi penggemar fotografi dan sepeda udara bagi yang ingin bersantai sambil menikmati pemandangan BNS dari atas. Ada juga permainan bagi pengunjung yang datang bersama rombongan seperti laser mission dan battle area. Juga ada bioskop 4 dimensi. Total ada 20 wahana lebih di BNS. Hanya kekurangannya tiket terusan tidak mencakup semua wahana, masih ada wahana/permainan yang harus membayar walaupun punya tiket terusan.;
"Saya penuh harapan bakal banyak yg bagus disini, tp habya gokart dan foto illusion nya saja yg keren.. gokart saya main 4x seru""..";
Keberadaannya sangat mencolok di kota Batu yang relatif sepi, apalagi malam hari. Lampu dan kemeriahannya menarik pengunjung untuk mencoba atraksi yang disuguhkan. Sebetulnya area taman ini tidak terlalu luas, malah terasa sempit untuk sejumlah atraksi disana. Tidak heran kalau pengunjung agak berdesakan setiap malam. Sepeda udara dan taman lampion mungkin unggulan atraksi disana, kalau yang lainnya sepertinya sering ada di tempat lain. ;
ini adalah karnaval yg sangat disukai anak anak.. d dalamnya kita bisa bermain aneka permainan, melihat pameran lampion, dan gokart.;
Belum lengkap sepertinya jika ke Batu tanpa mengunjungi BNS di malam hari, menikmati Lampion Garden dan beberapa permainan disini.;
Lumayan bagus dengan lampion-lampion cantik sebagai daya tarik.. Untuk ke depannya mudah-mudahan wahana selain lampion, rumah hantu,dll diperbanyak lagi.. Tapi BNS yang ramai saat malam berbanding terbalik dengan keadaan di luar BNS yaitu disekitaran kota Batu, karena jika malam tiba sepiiiiiiii sekali, penerangan jalanpun sangat minim, angkot di sanapun hanya sampai jam 5 sore..;
Kalau dulu kita familiar dengan hiburan yang namanya pasar malam. Nah ini versi lengkapnya. ada banyak wahana. harga cukup menarik. masuk cuma 25.000 saja. Tetapi setiap kita masuk ke dalam wahananya maka kita harus membayar lagi. Rata2 10.000 saja. Bagi yang suka coba-coba wahana, akan terasa mahal karena kalau ditotal juga bisa sampai 50-100 ribu semuanya. Tapi kalau yang hobi jalan2 saja maka tempat ini cocok. Ada wahana lampion yang cocok buat kita yang hobi selfie dengan tema2 yang unik2.;
Menurut saya sih tempat ini lumayan lah, walaupun tempatnya tidak begitu luas tetapi mainannya lumayan banyak juga. Tapi tidak terlalu banyak juga permainan yang bisa saya naiki karena badan saya lumayan besar jd ya takut2 juga. Yang wajib anda coba menurut saya 4 dimensi, lalu lampion garden, kursi terbang dan yg menantang menurut saya sepeda gila. Tapi ingat sebaiknya usahan jangan ketwmpat ini weekend di saat musim libur karena akan sangat crowded banget udah gitu susah banget bro cari parkirnya.;
Cocoknya sih untuk keluarga tepatnya anak-anak karena kebanyakan mainan untuk anak-anak. HTM 30rb weekend, setiap permainan bayar lagi 15rb;
Tempat ini memang cukup menyenangkan, dan tiketnya cukup murah. Tapi tempatnya kurang begitu tertata rapi, dan kondisinya cukup ramai seperti pasar malam. Permainannya cukup beragam dan menyenangkan. Pengunjung bisa memilih untuk masuk dengan tiket terusan atau tiket masuk saja, lalu membayar sesuai permainan yang diinginkan.;
Wajib dikunjungi kalo lagi di Batu...Banyak pilihan Wahana Permainan!Apalagi kalau datengnya Malem,Bakal takjub sma Lampion Garden yang Memukau hati >< Jangan Lupa coba Sepeda Udara!Bisa Liat kota Batu dan Malang dari Udara!!sama Rumah Hantu di BNS ini juga wajib didatengin!karena mencekam banget bro!;
untuk tiket masuk yang sangat murah cocok untuk kantong mahasiswa, banyak wahana yang ditawarkan tapi setiap wahana harus beli tiket. lokasi outdoor jadi jika hujan ya basah, beda dengan trans studio yang indoor.;
Wahana nya banyak yang tidakk berfungsi dan petugas di depat yang tidak menjelaskan secara rinci, sehingga rugi jika membeli ticket terusan ternyata banyak wahana yang tidak jalan;
tempat hiburan keluarga yang sangat baik, cocok sekali untuk anak anak dan dewasa. banyak wahana pilihan untuk bermain. sangat di rekomendasikan;
Yang keinget kalo di BNS itu ciloknya hahaha, cobain cilok yang dipintu exitnya yah :) balik ke BNS.. Memang lebih nice kalo dikunjungi di malem hari.. Karena menurut aku yang buat BNS nice itu ada di wahana tempat lampionnya. Harga masuk BNS sendiri murah kok Rp 5.000 aja Januari 2016 weekday. Tapi yang lumayan itu wahana didalemnya guys. Saya cuma main apa yah itu namanya, kayuh sepeda di udara gitu, harganya Rp 15.000/orang sama masuk tempat lampion seharga Rp 25.000/orang ada Gokartnya.. Tapi ga main karena mayan mahal Rp 50.000/2putaran Rp 80/85.000/5putaran;
pas kesini tuh kesan saya ya biasa aja... mainannya keliatan tua dan kurang safety nya. jadi ngeri gitu ngeliatnya. alhasil saya cuma masuk liat liat aja. tempatnya juga kecil sih menurut saya. ;
yang suka dengan wahan permainan yang seru dan menantang, disini tempatnya, dan bagi wisatawan yang suka dengan gemerlap lampion2 unik, juga ada disana, bukanya hanya saat malam saja;
tempatnya seperti pasar malam , banyak wahana yang memacu adrenalin , bisa juga jalan-jaklan hanya untuk menikmati keindahan BNS tersebut , ada suatu tempat lampion yang banyak lampu menyala di dalam BNS tersebut yang asik buat berfoto ria;
Kami pernah ke BNS di Batu waktu malam hari disini. Lumayan Bagus... wahananya memang tidak terlalu banyak tetapi sudah lumayan oke, yaaah, harus terus dikembangkan lagi biar lebih bagus dan semakin ramai...;
Banyak wahana yang asik untuk tantangan bagi yang ingin memacu adrenalin. Ada gokart yang asik untuk balapan. Ada kereta layang yang bisa bikin gamang. Keluar dari sini kena pasar sovenir yang jalannya mutar mutar ga karuan...hadeehh;
Tempatnya seperti dufan, walau permainannya tidak selengkap di dufan. Lampu kelap kelip khas pasar malam. Cuma musik house nya yg bikin agak ilfil, berasa ada di diskotik dangdut.;
permainan kurang lengkap,outletnya kterlihat kumuh dan terkesan seperti pasar,view di luar arena malah lebih bagus;
Dari namanya sudah jelas keindahan BNS hanya bias disaksikan pada malam hari. Selain berbagai lampion tersedia berbagai permainan. Dan di jalan keluar dari BNS ini kita dilewatkan berbagai took penjual souvenir;
BNS memiliki banyak wahana, tidak hanya wahana untuk memacu adrenaline, tapi ada banyak wahana lainnya, seperti Taman lampion, yang sangat indah di malam hari.;
berlibur kemalang tidak lupa mengunjungi BNS ini... sangat kreatif apalagi masuk kekawasan lanpion nya banyak kita temukan karya - karya lanpion yang indah - indah dan banyak spot - spot foto untuk kita jadikan kenang - kenangan. disini juga banyak pula wahan permainan anak - anak. seru pokoknya kalo kesini bersama keluarga dan anak - anak;
bns pasar malam yang diisi dengan banyak ragam permainan dan hiburan. Secara keseluruhan menyenangkan menghabiskan waktu di bns..foodcourtnya juga luas hanya pada saat kesana beberapa toko makanan tidak buka dan mungkin foodcourtnya bs diberi ruangan ber ac agar tidak panas dan lbh nyaman saat makan.;
Batu Night Spectacular adalah wahana di Kota Batu, Malang yang buka mulai dari sekitar jam 3 sore. Semakin gelap, permainan lampu dan lampion terlihat sangat indah. Tiketnya juga cukup murah, kami membeli tiket biasa (bukan terusan), harganya sekitarnya Rp 30.000,00.Sedangkan tiket terusan harganya sekitar Rp 100.000,00. Di dalamnya terdapat wahana menarik seperti museum 3d, wahana sepeda udara, taman lampion, dll. Kami memutuskan untuk menaiki wahana sepeda udara dan taman lampion. Harga tiket ke masing-masing wahana berkisar Rp 10.000,00-20.000,00. Cukup murah bukan. Sangat disaranakan untuk membawa kamera SLR bila ingin berkunjung kemari.;
Banyak wahana htm terusan hanya Rp 100.000... food courtnya sangat bagus.. antrian wahana tidak panjang..;
tempat bermain yang sangat seru, dengan suasana malam dan juga cuaca yang dingin membuat malam menjadi sangat panjang, harganya juga tidak terlalu mahal, cocok untuk tua dan muda, salah satu destinasi wajib untuk dikunjungi ketika anda ke malang atau batu;
Wahanaya menarik. Recomended yang suka cari hiburan di malam hari. Tapi masih butuh banyak lagi pengembangan.;
Tempat parkir mobil penuh dan tidak ada petugas yang mengarahkan alternatif parkir yang tersedia. Pengaturan lalu lintasnya kurang terkordinasi.;
Hiburan yang disediakan seperti pasar malam minus tong setan. Parkir susah, harga tiket agak sedikit mahal jika dibandingkan dengan permainannya. Buat hiburan lumayan lah..;
Untuk masuk bns bayar mahal, untuk menikamati wahana bayar lagi. Heu. Mengecewakan. Tidak sebanding dengan harga. Yg menarik cuma taman lampion yang untuk menikmatinya bayar lagi;
Alternatif wisata saat malam karena jam operasionalnya mulai sore hingga malam. Banyak wahana bermain yang menguji adrenalin. Kalau, kurang suka dengan permainan, bisa mencoba pertunjukan 4D serta yang tidak boleh dilewatkan tentu menikmati taman lampion. Keren untuk foto-foto 😄 Ada pula food court yang menyediakan aneka ragam menu. Biasanya, pada jam-jam tertentu, ada show berupa permainan cahaya yang dipadu air mancur. Spektakuler deh.. Jangan lupa membeli oleh-oleh khas Batu yang banyak dijajakan di stan-stan saat menuju pintu keluar.;
Batu Night Spectacular cukup spektakuler seperti namanya. Pasar malam ini terkenal dengan lampion-lampion berukuran besar yang sangat indah di waktu malam dan sangat menarik untuk mereka yang suka berfoto. Selain lampion, ada wahana bermain lain baik untuk anak-anak, remaja, maupun orang dewasa. Ada teater 4D, rumah hantu, sepeda udara, dll. Tersedia juga food court untuk pengunjung yang kelaparan setelah mengelilingi tempat ini.;
tempat yang cocok untuk segala usia. Permainan yang modern dengan penuh pancaran cahaya yang menyenangkan. Pastikan anda mengunjungi BNS pada saat cuaca cerah karena jika hujan hanya sedikit wahana yang akan beroperasi;
Tmpat asik buat jln2 di kota batu di mlm hari, harga tiket terusan ckp terjangkau utk yg senang mencoba mcm2 wahana permainan. Klo yg cm mo jln2 ckp bli tiket msk aja, 35rb saat libur dan weekend;
Batu Nigh Spectakuler (BNS) merupakan wahana rekreasi dan hiburan tengah malam di kota Wisata Batu. Lokasinya berada di Jl. Raya Oro-oro Ombo 200, Kota Batu. Terutama pada hari-hari libur, jalan-jalan utama menuju BNS sangat ramai, bahkan macet. Untuk menghindarinya, Anda dapat menempuh jalan pintas. Jika Anda berangkat dari arah kota Malang, Anda bisa mengambil jalur ke arah Jl. Gajayana, tepat di pertigaan Sardo (swalayan), Anda belok ambil arah lapangan Merjosari hingga tikungan. Sekitar 250 meter dari situ ada pertigaan kecil, belok kiri terus lurus ikuti jalan beraspal itu hingga masuk daerah Batu. Lewat jalan ini, Anda relatif akan terhindar dari kemacetan di jalan utama. Mengujungi BNS, sebaiknya pada waktu sore sampai malam hari. Karena sesuai namanya, wahana ini hanya buka pada sore sampai malam hari, sekitar pukul 15.00 - 23.00 Wib. Kecuali hari Sabtu-Minggu, bisa buka lebih lama, sekitar pukul 12.00 - 24.00 Wib. Wahana ini cocok untuk rekreasi keluarga dan anak-anak. Beraneka macam bentuk dan warna lampu-lampu lampion yang indah dapat Anda saksikan saat malam hari. Beragam spot permainan tersedia di BNS, seperti slalom tes, sepeda udara berjalan mengelilingi sepanjang rel di atas wahana, trampolin, drag race, mouse coaster, dan masih banyak lagi. Jangan lewatkan untuk belanja oleh-oleh, karena BNS menyediakan Pasar Malam (night market). Di area bagian dalam, tersedia pula Food Court BNS. Abadikan wisata Anda di BNS, karena objek-objek yang ada di sana sangat menarik untuk dipotret. Karena itu, sediakan camera atau smart phone yang mendukung, dengan resolusi tinggi. ;
Tempat hiburan yg cocok utk keluarga dan hangout bersama teman2...lampu lampuny sangat menarik dan bagus,,cocok utk foto2 dan hiburannya lengkap;
BNS buka sore hingga tengah malam dan cocok untuk taman bermain bagi keluarga dengan anak kecil hingga remaja. Cukup banyak permainan untuk remaja dan dewasa, dan ada pula museum trick art untuk kami berfoto ria ;
Bns,hiburan malam hari yang cukup memyenangkan di kota batu.banyak lampion2 yang cantik dan area permainan menyenangkan yang bisa kita main kan dengan anak-anak kita.thx BNS;
tempat yang bagus , penuh permainan dengan hawa yang dingin..tiket masuk juga cukup terjangkau..harus bayar lagi untuk masuk ke masing masing wahana...recomended bagi yang sedang berlibur di batu;
BNS, salah satu jujukan wisata keluarga dimalam hari, aa sepeda angkasa, kamar kaca, trampolin, dasn banyak lagi. cukup dapat memuaskan anak-anak.;
Batu Night Spectacular atau BNS adalah salah satu wisata yang terkenal di Batu yang beroprasi pada malam hari. Banyak wahana yang disajikan didalamnya, banyak juga permainan seru yang sayang untuk dilewatkan, tidak hanya itu BNS juga menyediakan taman lampion yang cocok foto-foto keluarga atau pasangan. Tiket masuk juga terbilang terjangkau dan di pintu keluar terdapat pusat oleh-oleh. Jadi kalau pergi ke Batu Malang belum lengkap kalau belum ke BNS.;
kemari beramai2 dengan teman kantor saat outing, wahananya seru2 dan antriannya tidak panjang, jadi sempat mencoba hampir semua wahana;
Ada beberapa wahana bermain antara lain taman lampion, sirkuit mobil, rumah cermin dan lain-lain. Merupakan wahana permainan yg buka di malam hari sehingga mengakomodir wisnus yg ingin tetap bermain pada malam hari;
Bagus. Bener2 having fun disini. Byk games & kuliner. Don't miss ketan susu nya. Woenak pokoke.........;
Semula saya kira tempatnya kecil..ternyata...luaass...lampion2nya baguuuss...cucok buat foto2. Tempatnya yg sejuk (karena berada di dataran tinggi) bikin jalan-jalan keliling tidak terlalu melelahkan. Lokasi sekitarnya juga banyak yang menjual makanan dan oleh2.. Membuat BNS bisa jadi one stop point untuk jalan-jalan.;
sekitar 3 jam bermain di lokasi ini bersama keluarga dari Bali. Tiket masuk tidak terlalu mahal. banyak wahana permainannya. cocok untuk wisata keluarga jika ingin bermain bersama anak kecil.;
Kota Batu all out banget dalam menyajikan wisata bagi para wisatawan yang berkunjung di kota Batu. Jika pagi sampai sore kita bisa mengunjungi Jatim Park, Secret Zoo, Eco Green, Selecta, atau Predator Park. Malamnya kita bisa berkunjung ke BNS ini. Selain berbagai wahana yang ditawarkan di tempat ini dan Food Courtnya yang sangat luas, yang menarik dari tempat ini adalah ada Spectacular Show dengan pertunjukan laser show dan air mancur yang bisa menari, keren banget deh pokoknya.;
Di sini tempat untuk menikmati hiburan bagi seluruh kalangan usia. Ditambah live music dan pasar malam, tempat ini mempunyai daya tarik tersendiri. Tiket masuk 20ribu (hari kerja), bukan untuk tiket permainan (yang bisa diperoleh terpisah atau langsung membeli tiket terusan untuk beberapa lokasi tertentu). ;
Malang memang kota yang nyaman untuk wisata. salah satu yang wajib harus dikunjungi ketika malam hari adalah BNS, karena keindahannya terlihat ketika lampu2 mulai dinyalakan. didalam BNS terdapat miniatur ikon kota2 besar seperti menara eifel, monas,dan hollywood. recomended untuk jalan bersama teman.;
Tempat ini sangat ramai sampai susah mencari tempat parkir...wahananya tidak semegah dufan ancol tapi cukup menghibur buat seru-seruan bersama keluarga atau teman;
saya sering jalan-jalan ke batu dan bermain di beberapa tempat rekreasi, salah satunya di bns ini. saat pertama datang suasananya ramai dan cukup menghibur, namun belakangan ini sepertinya kurang menarik karena tidak ada wahana baru yang ditawarkan;
"Karena ada pelatihan dari kantor yang bertempat di Universitas Brawijaya Malang maka saat senggang malam hari saya bersama teman-teman berkesempatan mengunjungi tempat ini. It was such a lovely place to visit... ditambah dengan lampion-lampion berwarna warni membuat tempat ini semakin cantik. Banyak wahana yg bisa jadi pilihan, kebetulan saat itu saya dan teman"" memilih untuk masuk ke taman lampion, gallery art dan 4 dimensi. Utk wahana yg rada ekstrem... nyali kami tidak cukup kuat..hehehe... Keren lah pokoknya....";
Kami datang sekitar pukul 18.30wib, dan semua wahana sudah siap. Kami membeli hanya tiket masuk karena belum begitu yakin banyak wahana yang bisa dinaiki oleh anak-anak kami yang berusia 6thn dan 3thn. Ternyata benar, tidak semua wahana bisa dinaiki anak-anak. Meski demikian, anak-anak begitu menikmati wahana rumah kaca, lampion garden, playground anak, serta permainan buat anak lainnya. Kecuali wahana rumah hantu (anak-anak saya takut hihi) semua permainan anak-anak sangat menyenangkan buat anak-anak saya. Buat dewasa juga banyak wahana yang memacu adrenalin. Yang paling memukau adalah dancing fontain yang ada di dalam kantinnya. Sambil menikmati makan malam dengan harga yang cukup terjangkau pengunjung dapat menikmati atraksi air mancur menari dengan musiknya. Menunya sih biasa, makanan Indonesia, lumayan enak menurut saya. Toiletnya juga bersih. Tempat wisata dan permainan yang bagus. ;
berkeliling di kota malang ternyata tidak hanya siang aja yang asik, ternyata malampun juga makin seru. dengan adanya BNS malam hari di kota malang jadi tidak ada matinya. kurang lebih perjalanan dari kota surabaya 2.5 jam ke kota malang, kita bisa melepas kepenatan karena pekerjaan.;
datanglah saat jam 17.30  sehingga lampu lampu lampion mulai hidup, bagus.sayangnya tiket masih belum terusan jadi tiap atraksi atau wahana bayar lagi.datang saat hari biasa dan bukan weekend atau hari libur lebih puas bermain;
Awalnya belom pernah ternyata pas masuk tuh kaya masuk dunia disko yang banyak lampu lampu yang gemmerlap dan langsung di memilih wahana yang ada di BNS{batu night spect} bagi anda yang mau kesini ngga bakal rugi malam di sini puas jangan ragu dompet tipis terjangkau ko di sini buat yang mencoba SELAMAT MENIKMATI Yaaaag!!!!!!!;
Kota batu memang tidak pernah kekurangan tempat hiburan. Jika malam tiba BNS adalah salah satu tempat wisata yang patut kita kunjungi. Mengusung tema pasar malam namun modern tempat ini memiliki berbagai wahana permainan menguji adrenalin. Tempat yang cocok untuk wisata bersama kluarga. Selain berbagai permainan ada juga berbagai kedai makanan. Disini juga ada kios2 yang menjajakan berbagai kerajinan dan souvenir. Letaknya tidak jauh dari jatim park 2. mereka menyediakan tiket masuk dan tiket terusan. Jika ingin menikmati semua wahana dan lebih berhemat maka memilih tiket terusan adalah solusinya. ;
Menurut saya yang menjadi daya tarik utama dari tempat wisata ini hanya taman lampionnya, untuk permainannya masih standard. Tempat wisata ini seperti tempat bermain, dimana wisatawan datang untuk bermain saja, tidak ada tempat untuk menikmati pemandangan atau bersantai. Sayang juga kalau kota Batu terlalu banyak dibangun tempat wisata dengan atraksinya yang sama, karena tidak jauh dari BNS ini ada beberapa tempat wisata yang menjadi icon kota Batu juga. Saran saya kalau datang ke BNS membawa kamera DSLR karena pencahayaan disini kurang bagus;
Beberapa kali kesini. Untuk permainan tiap wahana dibayar terpisah dengan tiket masuk.. Ada beberapa permainan yang suda ga ada, padahal menurut saya itu yang menantang dan memacu adrenalin.. Buat yg suka eksis selfie noh bisa foto d lampion garden.. yah untuk hiburan skali skali tidak masalah;
Orang sering menyebut BNS, ngga taunya ini semacam pasar malam di kota wisata Batu, yang dibuat spektakuler dengan menghadirkan beberapa permainan yang menguji nyali.  Papan pengumumannya pun cukup sangar, bagi yang jantungan, atau sedang hamil dilarang keras ikut serta.  Malam hari suasana di BNS terang benderang.  Di luar hari libur atau minggu tempat tersebut cukup ramai, terutama para remaja dan pemuda.  Bagi yang tua cukup mengantar saja sambil ikut melihat kehebohan pengunjung yang menjajal permainan, atau menjajal berbagai masakan khas Jatim yang dijajakan di Food Court.  Sedangkan bagi anak anak juga tersedia aneka wahana yang aman.Kami mencoba permainan yang kami anggap ‘paling aman’ yaitu sepeda terbang, semacam kendaraan yang berjalan secara elektris mengelilingi BNS pada ketinggian tertentu. Akan tetapi setelah jalan, isteri saya mulai ketakutan karena sepedanya bisa berputar 180 derajad bila kemudi tidak dikuasai dengan kencang.  Akhirnya wahana yang menurut saya paling aman pun terasa menakutkan, apalagi goyang sedikit saja isteri menjerit, sehingga saya sendiri merasa deg-deg-an.  Belum lagi kalau melihat ke bawah. Nach permainan yang benar2 uji nyali adalah Kora Kora,  Sekoci Heboh dan Drop & Twist Tower.  Anak muda, beberapa di antaranya bule, sangat meikmati wahana tsb.Kora kora, kalau yang di Ancol kapalnya besar tapi gerakannya maju mundur, di sini kapalnya lebih kecil tapi gerakannya tidak hanya maju mundur tapi juga melayang ke kiri ke kanan dan bahkan berputar.  Karena malam hari, kapal BMS tampak seperti terbang dan berputar di udara. Awalnya gerakan Sekoci Heboh hanya ke kanan ke kiri, kemudian maju mundur.  Lama ke lamaan peserta dibuat heboh ketika sekoci miring dan vertikal.  Penonton pun terkesima, dan akhirnya semua melongo ketika sekocinya tengkurap di udara, jadi posisi peserta menggantung di udara, ditahan oleh safety belt.  Para peserta semakin heboh.Drop & Twist Tower ngga kalah heboh.  Setelah semua posisi peserta diperiksa keamanannya, kursi terlontar vertikal dengan cepat, kemudian meluncur turun dengan deras.  Kalau kurang nyali, atau jantung kurang kuat memang sebaiknya tidak mencoba.Masuk ke BNS cukup murah, sebaiknya ambil tiket yang eceran karena belum tentu kita berani menjajal semua wahana.;
Batu Night Spectacular yang menurut saya tidak terlalu spektakular :D isinya ada lampion garden dan beragam wahana permainan untuk dewasa. Yang lumayan menarik sih Lampion Gardennya.. ya lumayan lah buat jalan2 malem di Batu;
Tempat bermain malam hari di Batu. Atraksi permainan didominasi untuk anak remaja dan dewasa yang energik. Untuk yang anak-anak disediakan playground dan beberapa wahana sederhana. Untuk yang berumur, berjalan-jalan mengelilingi BNS supaya sehat, lalu menghabiskan waktu duduk di foodcourt. Makan dan melihat pertujukkan air mancur.;
Saya mengunjungi BNS bersama suami dan anak saya. Kunjungan pertama di malam minggu sangat ramai, namun cukup menyenangkan dengan beragam wahana yang memang dapat dimainkan pada malam hari, serta taman lampion/lampion garden yang sangat cantik dengan bermacam-macam bentuk desain lampion berwarna-warni yang merupakan tempat yang sangat cocok untuk mengabadikan moment. Udara malam kota Batu yang dingin tidak menghilangkan rasa penasaran untuk mencoba semua permainan. Harga tiket masuknya pun cukup murah. Keseruan di malam hari bisa dicoba disini!;
Isinya permainan anak-anak, bukanya di sore ke malam hari, ada lampion-lampion cantik, ada rumah hantu, ada foodcourtnya juga. overall OK lah..;
Banyak wahana yang bisa dimainkan. Sayangnya untuk gokart tidak berlaku tiket terusan. Melainkan pengunjung harusnya mengeluarkan kocek sendiri. Secara keseluruhan hiburan malam yang satu ini cocok dinikmati bersama keluarga.;
tempat wisata yang keren, sangat kreatif, menghibur, banyak wahana bermain juga, banyak tempat makan, bisa shoping juga. recommended banget;
Berkunjung ke BNS ada 2 pilihan tiket masuk yaitu tiket masuk saja atau tiket terusan. BNS paling bagus dikunjungi pada waktu malam hari karena bisa sambil menikmati taman lampion serta aneka macam ornamen yang dibuat dalam bentuk lampion. Terdapat wahana permainan seperti arena gokart, kereta-keretaan, rumah hantu dll layaknya pasar malam.;
Banyak wahana permainan untuk anak2 maupu  dewasa. Ada gokart jg, taman lampion, dan trick eye musiumnya tuh yg paling keren.. gak kalah sama yg di pattaya;
Saya pertama kali liburan berdua dengan suami di BNS, tempatnya ternyata luas.. puas dengan wahana - wahana yang disediakan, tidak jauh dengan penginapan yang kami tempati. namanya Palem Asri Homestay. Nice Trip :D;
Cukup okey dengan permainan, kuliner dan panggung hiburannya. Cocok membawa keluarga dan teman untuk jalan2 dan bersantai sebagai salah satu alternatif hiburan di kota Malang;
BNS, sebuah wahana cukup menarik yang terletak di Kota Batu. Wahana ini menyuguhkan beberapa permainan yang dapat Anda nikmati. Adapula beberapa spot untuk berfoto dengan konsep pencahayaan dalam bentuk dan warna yang bermacam - macam. Namun pengelolaan parkir belum tertata dengan baik.;
mungkin saran ajah untuk wahana bisa dihadirkan yang lebih baru dan keren dari yang sudah ada. mungkin bagi yang belum pernah ke BNS pasti merasa puas, tapi untuk ke dua kalinya pasti bosen. soalnya ini satu-satunya hiburan malam outdoor yang keren banget di Batu. sukses selalu buat BNS.;
Bagus untuk menikmati banyak wahana d malam hari..lampion garden dengan aneka lampion berbagai bentuk yg menarik..dekat denga jatim park 2..;
berkunjung ke tempat wisata di malam hari? tak perlu khawatir lagi. disini bisa puasss.... banyak wahana permainan yang bisa memicu adrenalin. mulai dari nonton film sampai bombom car. atau roller coaster. sepedaan di atas juga seru. jangan lupa pakai jaket, hahaha.. seru seru sekali. wajib berkunjung lagi.;
Bener2 seperti namanya BNS is spectacular...setelah lelah dari jatim park 1 ato 2 malamnya terasa ga afdol klo ga BNS. Capek lelah semuanya hilang ketika berada disini,,its amazing place brooh...kalian akan lihat lampion warna warni permainan yg menguji adrenaline smpai foodcourt yg dihibur dengan proyektor animasi yg besarr bengaat di langit2 nya...one word BNS ITS EMEEYYYYZINGG;
"Seru menghabiskan liburan di sini, layak dikunjungi kalo liburan ke batu, buka nya di malam hari jadi agak jauh kalo kita bermalam di malang.. Overall anak"" happy main di sini";
"dapet liburan gratis dari turnamen basket.. i love BNS.. kereennn.., murah ;) selalu menyempatkan keBNS jika sedang di malang..lampion gardennya keren.. yeeyy.., sayang lumayan jauh dari malang..tapi tetep aja kesana ;) ";
BNS memiliki keunggulan karena buka pada malam hari. Namun, permainan yang ada dalam objek wisata ini tidak terlalu bagus, bahkan beberapa permainan cenderung kuno dan jelek. Kekurangan lainnya adalah para perokok yang masih dibiarkan melakukan aktivitasnya di sembarang tempat.;
Sep 2015. Tiket masuk Rp.30.000 per orang, hanya untuk masuk ke area BNS. Kalau mau main permainannya harus bayar lagi start Rp.10.000. Tiket terusan Rp.100.000. Okelah buat hangout di malam hari;
Memasuki area wisata ini ,mengingatkan pada pasar malam kebanyakan.  Perbedaannya hanya pada taman lampion yang membuat atraksi berbeda.  Jadi ini seperti pasar malam biasa, perlu banyak inovasi, agar benar-benar spektakuler;
Batu Night Spectakuler salah satu tempat hiburan yang kita kunjungi terakhir kali di Batu, banyak wahana yang dapat kita lihat disana, tempat ini sangat menarik terutama untuk anak-anak. Ada taman lampion dengan lampu warna warni yang menarik. Banyak permainan yang mirip Dufan Ancol, walaupun tidak sebanyak di Dufan. Over all tempat ini menarik untuk foto-foto dengan latar belakang lampu-lampu.;
